标题,链接,播放数
化妆拍照BGM.,637万,https://music.163.com/playlist?id=2434987000
高 级 感 vlog 纯音乐 BGM,1219万,https://music.163.com/playlist?id=2369772502
2018年度最热新歌TOP100,6467万,https://music.163.com/playlist?id=2578068117
那些喜欢到循环播放的歌,7909万,https://music.163.com/playlist?id=2466312782
绝版歌曲，劲爆电音，英文纯音，应有尽有！,621万,https://music.163.com/playlist?id=2525632823
抖音歌曲大全,605万,https://music.163.com/playlist?id=2428607226
Gifty 很美味 叽叽 二嘉 可乐 西柚 一口甜,671万,https://music.163.com/playlist?id=2489592180
谁说翻唱不好听,551万,https://music.163.com/playlist?id=2433860552
"""若是心怀旧梦 就别再无疾而终""",1430万,https://music.163.com/playlist?id=2474537199
开口即俘获人心，一听就爱上的英文歌 ②,600万,https://music.163.com/playlist?id=2429537442
给猪猪甜甜的歌单,624万,https://music.163.com/playlist?id=2456961456
再见大侠：武侠小说泰斗金庸逝世,880万,https://music.163.com/playlist?id=2492536378
社会人摇头必备嗨曲（极嗨）,642万,https://music.163.com/playlist?id=2467197621
怀旧 | 闲暇细数90后的回忆杀,1166万,https://music.163.com/playlist?id=2395304063
听说你也在找好听的华语歌,5627万,https://music.163.com/playlist?id=2438292020
别急，甜甜的恋爱马上就轮到你了,3438万,https://music.163.com/playlist?id=2430524968
初恋糖配料表：你的马尾辫和衬衫味道,721万,https://music.163.com/playlist?id=2497731034
失恋必听歌单 | 因为你突然听懂了很多歌,3963万,https://music.163.com/playlist?id=2385384236
欧美·耳朵怀孕 | 盘点那些流行歌手,831万,https://music.163.com/playlist?id=2430220144
那些超带感的英文歌曲~『一秒沦陷』,563万,https://music.163.com/playlist?id=2390539027
給你全宇宙的愛亘古不變,521万,https://music.163.com/playlist?id=2445944292
「青春印象」有没有一首歌瞬间勾起你的回忆,714万,https://music.163.com/playlist?id=2452681243
你打算什么时候去见那个超级想见的人啊,773万,https://music.163.com/playlist?id=2545279594
【2018年度电影精选| Ready Story 】,981万,https://music.163.com/playlist?id=2563772680
遥不可及 | 还有多远才能进入你的心,793万,https://music.163.com/playlist?id=2520454912
KTV必点：有没有一首歌，唱着唱着就泪奔,1120万,https://music.163.com/playlist?id=2557918409
不曾刻骨铭心，为何念念不忘？,805万,https://music.163.com/playlist?id=2683848158
华语百首｜好听的才是耳朵最想要的,560万,https://music.163.com/playlist?id=2459811044
有趣的歌，实在是一味行走的良药,512万,https://music.163.com/playlist?id=2618676816
2019年一月最热新歌TOP50,781万,https://music.163.com/playlist?id=2649779495
在你最无助的时候，哪首歌曾治愈了你？,600万,https://music.163.com/playlist?id=2669381196
隔壁老樊的孤单,1314万,https://music.163.com/playlist?id=2476882724
你还年轻，可以成为想成为的人,631万,https://music.163.com/playlist?id=2666769294
温柔暴击 | 沉溺于男友音的甜蜜乡,2523万,https://music.163.com/playlist?id=2511560749
会讲故事的男声 歌词唱的太像自己,900万,https://music.163.com/playlist?id=2546228760
你有没有喜欢很久却错过的人?,791万,https://music.163.com/playlist?id=2617430576
精选 | 网络热歌分享,782万,https://music.163.com/playlist?id=2602222983
粤语无前奏 | 开口即深情 入耳便钟意,645万,https://music.163.com/playlist?id=2512725665
愿每个孤独的人 都有属于自己的歌,590万,https://music.163.com/playlist?id=2564404001
「看书学习」在安静的位置看热闹的世界,546万,https://music.163.com/playlist?id=2426530028
试 着 安 静 地 听 完 一 整 首 歌,655万,https://music.163.com/playlist?id=2634350920
2019年二月最热新歌TOP50,616万,https://music.163.com/playlist?id=2689760444
关于孤独 它可以有100种讲述方式,593万,https://music.163.com/playlist?id=2505617952
听歌最怕应景，睹物最怕思人,524万,https://music.163.com/playlist?id=2621874307
早 / 睡 / 早 / 起 ：愿你生活温暖且美好,610万,https://music.163.com/playlist?id=2585806368
